Country,Response_measure,change,date_start,date_end,
,Austria,AdaptationOfWorkplace,1,3/10/2020,NA
,Austria,ClosDaycare,1,3/16/2020,5/4/2020
,Austria,ClosHigh,1,3/16/2020,9/30/2020
,Austria,ClosPrim,1,3/16/2020,5/18/2020
,Austria,ClosPubAny,1,3/16/2020,4/13/2020
,Austria,ClosPubAnyPartial,1,4/14/2020,NA
,Austria,ClosSec,1,3/16/2020,5/3/2020
,Austria,ClosSecPartial,1,5/4/2020,6/3/2020
,Austria,EntertainmentVenues,1,3/16/2020,4/30/2020
,Austria,EntertainmentVenuesPartial,1,5/1/2020,5/29/2020
,Austria,GymsSportsCentres,1,3/16/2020,4/30/2020
,Austria,GymsSportsCentresPartial,1,5/1/2020,5/29/2020
,Austria,HotelsOtherAccommodation,1,3/31/2020,5/29/2020
,Austria,IndoorOver100,1,3/10/2020,3/15/2020
,Austria,IndoorOver100,3,5/1/2020,7/1/2020
,Austria,IndoorOver1000,1,7/2/2020,7/31/2020
,Austria,IndoorOver1000,3,9/21/2020,NA
,Austria,IndoorOver5,1,3/16/2020,4/30/2020
,Austria,MasksMandatoryAllSpaces,1,9/14/2020,NA
,Austria,MasksMandatoryClosedSpaces,1,4/6/2020,6/14/2020
,Austria,MasksMandatoryClosedSpacesPartial,1,6/15/2020,9/13/2020
,Austria,MasksVoluntaryClosedSpacesPartial,1,3/31/2020,4/5/2020
,Austria,MassGatherAll,1,3/10/2020,7/31/2020
,Austria,MassGatherAll,3,9/21/2020,NA
,Austria,NonEssentialShops,1,3/16/2020,4/13/2020
,Austria,NonEssentialShopsPartial,1,4/14/2020,5/1/2020
,Austria,OutdoorOver1000,1,7/2/2020,7/31/2020
,Austria,OutdoorOver1000,3,9/21/2020,NA
,Austria,OutdoorOver5,1,3/16/2020,4/30/2020
,Austria,OutdoorOver50,1,5/1/2020,5/29/2020
,Austria,OutdoorOver500,1,3/10/2020,3/15/2020
,Austria,OutdoorOver500,3,5/30/2020,7/1/2020
,Austria,PlaceOfWorship,1,3/16/2020,5/14/2020
,Austria,PlaceOfWorshipPartial,1,5/15/2020,NA
,Austria,RestaurantsCafes,1,3/16/2020,5/15/2020
,Austria,StayHomeGen,1,3/10/2020,3/15/2020
,Austria,StayHomeOrder,1,3/16/2020,4/30/2020
